wl,S001,S002
680.393422,15776.857143,15776.857143
680.834255,15751.428571,15751.428571
681.275068,15660.285714,15660.285714
681.715861,15591.857143,15591.857143
682.156635,15411.428571,15411.428571
682.597388,15442.000000,15442.000000
683.038122,15254.857143,15254.857143
683.478836,15295.000000,15295.000000
683.919529,15168.285714,15168.285714
684.360203,15056.714286,15056.714286
684.800858,15007.142857,15007.142857
685.241492,14891.571429,14891.571429
685.682106,14724.000000,14724.000000
686.122700,14568.142857,14568.142857
686.563275,14402.428571,14402.428571
687.003829,14162.714286,14162.714286
687.444364,13981.714286,13981.714286
687.884878,13867.714286,13867.714286
688.325373,13968.571429,13968.571429
688.765848,13930.571429,13930.571429
689.206302,13859.000000,13859.000000
689.646737,13879.428571,13879.428571
690.087152,14057.857143,14057.857143
690.527546,14185.142857,14185.142857
690.967921,14187.857143,14187.857143
691.408275,14134.714286,14134.714286
691.848610,13953.714286,13953.714286
692.288925,13854.285714,13854.285714
692.729219,13832.714286,13832.714286
693.169493,13899.571429,13899.571429
693.609748,13779.142857,13779.142857
694.049982,13810.428571,13810.428571
694.490196,13696.142857,13696.142857
694.930390,13863.857143,13863.857143
695.370564,13985.000000,13985.000000
695.810718,14002.428571,14002.428571
696.250852,14019.142857,14019.142857
696.690965,14206.142857,14206.142857
697.131059,14297.857143,14297.857143
697.571132,14424.142857,14424.142857
698.011185,14530.714286,14530.714286
698.451218,14772.000000,14772.000000
698.891231,14797.571429,14797.571429
699.331223,14818.000000,14818.000000
699.771196,14629.571429,14629.571429
700.211148,14540.714286,14540.714286
700.651080,14398.428571,14398.428571
701.090991,14107.428571,14107.428571
701.530883,13742.571429,13742.571429
701.970754,13583.000000,13583.000000
702.410605,13408.571429,13408.571429
702.850436,13319.857143,13319.857143
703.290247,13085.142857,13085.142857
703.730037,12990.571429,12990.571429
704.169807,12953.142857,12953.142857
704.609556,12876.714286,12876.714286
705.049286,12621.714286,12621.714286
705.488995,12458.571429,12458.571429
705.928683,12344.428571,12344.428571
706.368352,12444.000000,12444.000000
706.808000,12202.571429,12202.571429
707.247628,12115.857143,12115.857143
